Date,Macro_Sentiment,Macro_News_Volume,Macro_Sentiment_3d
2020-09-29,0.1662142857142857,7,-0.026595238095238078
2020-09-30,-0.02641249999999999,8,0.06548948412698415
2020-10-01,0.0,3,0.04660059523809527
2020-10-02,-0.1626,2,-0.06300416666666664
2020-10-05,0.3488,2,0.062066666666666694
2020-10-06,-0.6335,2,-0.14909999999999995
2020-10-07,0.07076,5,-0.0713133333333333
2020-10-08,-0.2047,4,-0.2558133333333333
2020-10-09,0.0,1,-0.04464666666666665
2020-10-12,0.033716666666666666,6,-0.056994444444444424
2020-10-13,0.085,4,0.03957222222222224
2020-10-14,0.18076666666666666,3,0.09982777777777779
2020-10-15,-0.08530000000000001,2,0.060155555555555566
2020-10-16,-0.09106666666666667,3,0.0014666666666666762
2020-10-19,0.20010000000000003,6,0.007911111111111138
2020-10-20,0.0,5,0.036344444444444464
2020-10-21,0.05148333333333333,6,0.08386111111111112
2020-10-22,0.051983333333333326,6,0.0344888888888889
2020-10-23,0.09580000000000001,4,0.06642222222222224
2020-10-26,0.004833333333333319,3,0.05087222222222224
2020-10-27,0.07105,6,0.0572277777777778
2020-10-28,-0.50335,2,-0.14248888888888886
2020-10-29,-0.14579999999999999,5,-0.19269999999999995
2020-10-30,0.7096,1,0.02015000000000004
2020-11-02,0.14478,10,0.23619333333333337
2020-11-03,0.1640333333333333,15,0.3394711111111111
2020-11-04,0.13758,5,0.1487977777777778
2020-11-05,0.183,4,0.1615377777777778
2020-11-06,0.12191250000000001,8,0.14749750000000003
2020-11-09,0.09921666666666668,6,0.13470972222222224
2020-11-10,-0.005699999999999997,4,0.07180972222222226
2020-11-11,0.4215,1,0.17167222222222225
2020-11-12,-0.162325,4,0.0844916666666667
2020-11-13,0.26146,5,0.17354500000000006
2020-11-16,0.25279999999999997,11,0.1173116666666667
2020-11-17,0.09353571428571428,14,0.2025985714285715
2020-11-18,0.23263333333333333,3,0.19298968253968254
2020-11-19,-0.08307142857142857,7,0.08103253968253972
2020-11-20,-0.17885714285714285,7,-0.009765079365079329
2020-11-23,0.16315,6,-0.032926190476190435
2020-11-24,0.16932307692307694,13,0.051205311355311395
2020-11-25,0.038450000000000005,8,0.12364102564102568
2020-11-27,0.3556333333333333,3,0.18780213675213678
2020-11-30,0.1473,7,0.1804611111111111
2020-12-01,-0.0039000000000000024,9,0.16634444444444446
2020-12-02,0.17843333333333333,6,0.10727777777777779
2020-12-03,0.0,1,0.058177777777777794
2020-12-04,0.16815000000000002,6,0.1155277777777778
2020-12-07,0.16975,4,0.11263333333333336
2020-12-08,-0.09106666666666667,3,0.0822777777777778
2020-12-09,0.024900000000000002,4,0.0345277777777778
2020-12-10,0.0425,8,-0.00788888888888887
2020-12-11,0.23450000000000001,6,0.10063333333333335
2020-12-14,0.160225,4,0.14574166666666669
2020-12-15,0.08523333333333333,6,0.15998611111111113
2020-12-16,0.19748333333333332,6,0.14764722222222224
2020-12-17,-0.060200000000000004,6,0.07417222222222224
2020-12-18,0.010345454545454541,11,0.04920959595959598
2020-12-21,0.06746153846153846,13,0.005868997668997696
2020-12-22,-0.0516,7,0.008735664335664363
2020-12-23,0.07543333333333334,3,0.030431623931623963
2020-12-24,-0.0061500000000000036,4,0.0058944444444444756
2020-12-28,-0.125,2,-0.018572222222222195
2020-12-29,0.04762,5,-0.027843333333333303
2020-12-30,0.07024999999999999,6,-0.0023766666666666333
2021-01-04,-0.028642857142857144,7,0.029742380952380982
2021-01-05,0.058124999999999996,4,0.03324404761904765
2021-01-06,0.11093333333333333,6,0.04680515873015876
2021-01-07,0.09334285714285714,7,0.08746706349206353
2021-01-08,-0.2173,2,-0.004341269841269803
2021-01-11,0.1589,3,0.011647619047619092
2021-01-12,0.11315,2,0.018250000000000044
2021-01-13,-0.1473,4,0.04158333333333338
2021-01-14,0.17020000000000002,3,0.04535000000000005
2021-01-15,-0.016557142857142854,7,0.002114285714285763
2021-01-19,0.07461111111111111,9,0.07608465608465613
2021-01-20,-0.036306666666666675,15,0.007249100529100566
2021-01-21,0.02560000000000001,6,0.021301481481481522
2021-01-25,0.11600000000000002,5,0.035097777777777825
2021-01-26,-0.061340000000000006,5,0.02675333333333338
2021-01-27,0.0129,2,0.022520000000000043
2021-01-28,0.0,4,-0.01614666666666663
2021-01-29,-0.04197142857142856,7,-0.009690476190476147
2021-02-01,0.354325,4,0.10411785714285719
2021-02-02,0.1108625,8,0.14107202380952386
